index,in_data,u,g,r,Ha,i,r.Ha.i,Rne,coherent,shape,best_filter,comment
29,TRUE,no,no,faint,visible,faint,faint,4,y,"arc, arm",,"no point source associated with that blob in Gaia, NED and SIMBAD"
30,TRUE,no,no,no,no,no,no,1,,,,Distant: ~570 pc
31,TRUE,no,visible,visible,prominent,prominent,prominent,5,y,"diffuse, asym",,
32,TRUE,no,no,no,no,no,no,1,,,,too distant
33,TRUE,no,no,no,no,no,no,1,,,,
34,TRUE,no,no,faint,faint,faint,faint,2,,,,faint is actually very faint
35,TRUE,no,prominent,prominent,prominent,prominent,prominent,4,y,"diffuse, tail",,difficult to understand if it is due to this actual star
36,TRUE,no,no,no,no,no,no,1,,,,
37,TRUE,no,faint,faint,faint,faint,faint,3,y,diffuse,,inside nebulosity
38,TRUE,no,visible,visible,visible,visible,visible,4,y,"diffuse, blob",,
39,TRUE,no,no,no,no,no,no,2,,,,
40,TRUE,no,no,no,no,no,no,1,,,,
41,TRUE,no,no,no,no,no,no,1,,,,can’t see anything
42,TRUE,no,no,no,no,no,no,1,,,,
43,TRUE,no,no,no,no,no,no,1,,,,
44,TRUE,no,faint,faint,faint,faint,faint,2,,,,there is nebulosity between the 2 stars
45,TRUE,no,no,faint,faint,faint,faint,2,,,,
46,TRUE,no,no,no,no,no,no,2,,,,there seem to be nebulosity but it is not clear if it’s due to the artifacts
47,TRUE,no,no,no,no,no,no,1,,,,
48,TRUE,no,no,no,no,no,no,2,,,,
49,TRUE,no,no,no,no,no,no,1,,,,can’t see the star
50,TRUE,no,prominent,prominent,prominent,prominent,prominent,5,y,"diffuse, blob, asym",r.Ha.i,"linked with 51, which star is responsible?"
51,TRUE,no,prominent,prominent,prominent,prominent,prominent,5,y,"blob, asym",r.Ha.i,"linked with 51, which star is responsible?"
52,TRUE,no,no,no,no,no,no,2,,,,in a region of nebulosity but the star is not visible
53,TRUE,no,no,no,no,no,no,1,,,,cannot see star
54,TRUE,no,faint,faint,visible,visible,visible,4,y,"filament, diffuse",Ha.i,
55,TRUE,no,faint,visible,visible,visible,visible,4,y,arc,Ha.r.i,is it really due to this star?
56,TRUE,no,no,no,no,no,no,1,,,,can’t see the star
57,TRUE,no,no,no,no,no,no,2,,,,in region of nebulosity but the object is far ~220 pc
58,TRUE,no,no,no,no,no,no,1,,,,
59,TRUE,no,no,no,no,no,no,1,,,,can’t see star
60,TRUE,no,no,no,no,no,no,1,,,,can’t see star
61,TRUE,no,no,no,no,no,no,1,,,,can’t see star
62,TRUE,no,no,no,no,no,no,2,,,,star very distant
63,TRUE,no,no,no,no,no,no,1,,,,
64,TRUE,no,no,no,no,no,no,1,,,,"in the middle of an artifact, diffucult to tell if there is nebulosity"
65,TRUE,no,no,prominent,prominent,prominent,prominent,2,y,diffuse,Ha.r.i,"we do not have images in g and u, it is probably an emission line galaxy ESO 396-11"
66,TRUE,no,no,no,no,no,no,1,,,,"can’t see the star, region of nebulosity"
67,TRUE,faint,visible,prominent,prominent,prominent,prominent,4,y,"diffuse, arc",Ha.r.i,hard to tell if is actually due to that star
